,loss,acc,precision_1,recall_1,val_loss,val_acc,val_precision_1,val_recall_1
0,0.039984215050935745,0.9866798520088196,0.9866798520088196,0.9866798520088196,2.0245232582092285,0.713443398475647,0.7187127470970154,0.7110849022865295
1,0.010827368125319481,0.9970399737358093,0.9970399737358093,0.9970399737358093,2.1448678970336914,0.7405660152435303,0.7437425255775452,0.7358490824699402
2,0.0026236060075461864,0.9995066523551941,0.9995066523551941,0.9995066523551941,2.089914321899414,0.7417452931404114,0.7443786859512329,0.7417452931404114
3,0.0010286489268764853,1.0,1.0,1.0,2.220384359359741,0.7488207817077637,0.7494089603424072,0.7476415038108826
4,0.0009473558166064322,1.0,1.0,1.0,2.3063716888427734,0.7452830076217651,0.7476303577423096,0.7441037893295288
5,0.0007876625168137252,1.0,1.0,1.0,2.3606486320495605,0.7464622855186462,0.7470449209213257,0.7452830076217651
6,0.2759947180747986,0.9555994272232056,0.9565432071685791,0.9555994272232056,1.606536626815796,0.650943398475647,0.6557575464248657,0.6379716992378235
7,0.084228515625,0.9773063659667969,0.978723406791687,0.9758263230323792,1.3799759149551392,0.7523584961891174,0.7631579041481018,0.7523584961891174
8,0.007532346528023481,0.9995066523551941,0.9995066523551941,0.9995066523551941,1.429251790046692,0.7417452931404114,0.7515006065368652,0.7382075190544128
9,0.005368180572986603,0.9995066523551941,0.9995066523551941,0.9995066523551941,1.526998519897461,0.7417452931404114,0.7470024228096008,0.7346698045730591
10,0.003648671554401517,0.9995066523551941,0.9995066523551941,0.9995066523551941,1.7384188175201416,0.7382075190544128,0.7405213117599487,0.7370283007621765
11,0.0025857004802674055,0.9995066523551941,0.9995066523551941,0.9995066523551941,1.7140123844146729,0.7452830076217651,0.7494061589241028,0.7441037893295288
12,0.001968648051843047,1.0,1.0,1.0,1.6029161214828491,0.7476415038108826,0.7541766166687012,0.7452830076217651
13,0.0017128755571320653,1.0,1.0,1.0,1.714552879333496,0.7452830076217651,0.75208580493927,0.7441037893295288
14,0.0013484989758580923,1.0,1.0,1.0,1.7583832740783691,0.7382075190544128,0.7396449446678162,0.7370283007621765
15,0.0010981059167534113,1.0,1.0,1.0,1.8108688592910767,0.7441037893295288,0.7479191422462463,0.7417452931404114
16,0.000973464222624898,1.0,1.0,1.0,1.9233883619308472,0.7405660152435303,0.7428571581840515,0.7358490824699402
17,0.0008623726316727698,1.0,1.0,1.0,1.8465770483016968,0.7452830076217651,0.7485172152519226,0.7441037893295288
18,0.0007504269015043974,1.0,1.0,1.0,1.9543123245239258,0.7346698045730591,0.7369668483734131,0.7334905862808228
19,0.0006541000329889357,1.0,1.0,1.0,1.9279019832611084,0.739386796951294,0.7419738173484802,0.7358490824699402
20,0.0006022762972861528,1.0,1.0,1.0,1.96077561378479,0.739386796951294,0.7402135133743286,0.7358490824699402
21,0.0005378127680160105,1.0,1.0,1.0,1.9833859205245972,0.7370283007621765,0.7369668483734131,0.7334905862808228
22,0.00047098391223698854,1.0,1.0,1.0,1.96280837059021,0.7441037893295288,0.745843231678009,0.7405660152435303
23,0.00043365111923776567,1.0,1.0,1.0,2.061124086380005,0.7334905862808228,0.7349112629890442,0.7323113083839417
24,0.0003908690414391458,1.0,1.0,1.0,2.0505495071411133,0.7358490824699402,0.7381516695022583,0.7346698045730591
25,0.0003528484085109085,1.0,1.0,1.0,2.0981225967407227,0.7323113083839417,0.7357819676399231,0.7323113083839417
26,0.0003299018135294318,1.0,1.0,1.0,2.095428705215454,0.7358490824699402,0.7372781038284302,0.7346698045730591
27,0.0003054947592318058,1.0,1.0,1.0,2.1638247966766357,0.7334905862808228,0.7331759333610535,0.7323113083839417
28,0.00027989971567876637,1.0,1.0,1.0,2.1712114810943604,0.7334905862808228,0.7340425252914429,0.7323113083839417
29,0.00025286446907557547,1.0,1.0,1.0,2.213535785675049,0.7346698045730591,0.7343565821647644,0.7334905862808228
